time 	 force 	 position
0.000138328	0 0	0 0
0.0011073	0 0	0 0
0.00210424	0 0	0 0
0.00311332	0 0	0 0
0.00410363	0 0	0 0
0.00510073	0 0	0 0
0.00610011	0 0	0 0
0.00709959	0 0	0 0
0.00810002	0 0	0 0
0.00909993	0 0	0 0
0.0101001	0 0	0 0
0.0110996	0 0	0 0
0.0120992	0 0	0 0
0.0130995	0 0	0 0
0.0140992	0 0	0 0
0.0151004	0 0	0 0
0.0161	0 0	0 0
0.0171131	0 0	0 0
0.0181343	0 0	0 0
0.0191091	0 0	0 0
0.0201258	0 0	0 0
0.0211094	0 0	0 0
0.0221034	0 0	0 0
0.023101	0 0	0 0
0.0241048	0 0	0 0
0.0251008	0 0	0 0
0.0261034	0 0	0 0
0.0271005	0 0	0 0
0.0280999	0 0	0 0
0.0291223	0 0	0 0
0.0301257	0 0	0 0
0.0311302	0 0	0 0
0.0321272	0 0	0 0
0.0332233	0 0	0 0
0.0341366	0 0	0 0
0.0351297	0 0	0 0
0.0361123	0 0	0 0
0.0371288	0 0	0 0
0.0381279	0 0	0 0
0.0391259	0 0	0 0
0.0401248	0 0	0 0
0.0411254	0 0	0 0
0.0421257	0 0	0 0
0.0431244	0 0	0 0
0.0441241	0 0	0 0
0.045124	0 0	0 0
0.0461247	0 0	0 0
0.0471238	0 0	0 0
0.0481238	0 0	0 0
0.0491246	0 0	0 0
0.050126	0 0	0 0
0.0511243	0 0	0 0
0.0521237	0 0	0 0
0.0531236	0 0	0 0
0.0541252	0 0	0 0
0.0551239	0 0	0 0
0.0561237	0 0	0 0
0.0571234	0 0	0 0
0.058125	0 0	0 0
0.0591242	0 0	0 0
0.0601235	0 0	0 0
0.0611248	0 0	0 0
0.0621257	0 0	0 0
0.0631239	0 0	0 0
0.0641261	0 0	0 0
0.0651236	0 0	0 0
0.0661249	0 0	0 0
0.0671234	0 0	0 0
0.068124	0 0	0 0
0.0691241	0 0	0 0
0.0701255	0 0	0 0
0.0711241	0 0	0 0
0.0721231	0 0	0 0
0.0731238	0 0	0 0
0.0741253	0 0	0 0
0.0751249	0 0	0 0
0.0761239	0 0	0 0
0.0771237	0 0	0 0
0.0781072	0 0	0 0
0.0791084	0 0	0 0
0.0801067	0 0	0 0
0.0811038	0 0	0 0
0.0821029	0 0	0 0
0.0831004	0 0	0 0
0.0841041	0 0	0 0
0.0851005	0 0	0 0
0.0861027	0 0	0 0
0.0871019	0 0	0 0
0.0881017	0 0	0 0
0.0891014	0 0	0 0
0.0901027	0 0	0 0
0.0911019	0 0	0 0
0.0921015	0 0	0 0
0.0931028	0 0	0 0
0.0941034	0 0	0 0
0.0951022	0 0	0 0
0.0961019	0 0	0 0
0.0971022	0 0	0 0
0.0981029	0 0	0 0
0.0991033	0 0	0 0
0.100112	0 0	0 0
0.101119	0 0	0 0
0.102104	0 0	0 0
0.103134	0 0	0 0
0.104109	0 0	0 0
0.105103	0 0	0 0
0.106101	0 0	0 0
0.107101	0 0	0 0
0.1081	0 0	0 0
0.109101	0 0	0 0
0.1101	0 0	0 0
0.111099	0 0	0 0
0.112099	0 0	0 0
0.1131	0 0	0 0
0.1141	0 0	0 0
0.115163	0 0	0 0
0.116104	0 0	0 0
0.1171	0 0	0 0
0.118102	0 0	0 0
0.11911	0 0	0 0
0.120105	0 0	0 0
0.121103	0 0	0 0
0.122103	0 0	0 0
0.123102	0 0	0 0
0.124102	0 0	0 0
0.125102	0 0	0 0
0.126102	0 0	0 0
0.127103	0 0	0 0
0.128102	0 0	0 0
0.129102	0 0	0 0
0.130103	0 0	0 0
0.131129	0 0	0 0
0.132106	0 0	0 0
0.133112	0 0	0 0
0.134105	0 0	0 0
0.135103	0 0	0 0
0.136106	0 0	0 0
0.137102	0 0	0 0
0.138102	0 0	0 0
0.139102	0 0	0 0
0.1401	0 0	0 0
0.141099	0 0	0 0
0.142101	0 0	0 0
0.1431	0 0	0 0
0.144099	0 0	0 0
0.145099	0 0	0 0
0.146101	0 0	0 0
0.147099	0 0	0 0
0.148099	0 0	0 0
0.149099	0 0	0 0
0.150104	0 0	0 0
0.151099	0 0	0 0
0.152104	0 0	0 0
0.153101	0 0	0 0
0.154102	0 0	0 0
0.1551	0 0	0 0
0.1561	0 0	0 0
0.1571	0 0	0 0
0.1581	0 0	0 0
0.1591	0 0	0 0
0.160099	0 0	0 0
0.1611	0 0	0 0
0.162101	0 0	0 0
0.1631	0 0	0 0
0.164133	0 0	0 0
0.16511	0 0	0 0
0.166106	0 0	0 0
0.167105	0 0	0 0
0.168106	0 0	0 0
0.169104	0 0	0 0
0.170103	0 0	0 0
0.171102	0 0	0 0
0.172102	0 0	0 0
0.173102	0 0	0 0
0.174103	0 0	0 0
0.175102	0 0	0 0
0.176102	0 0	0 0
0.177101	0 0	0 0
0.178102	0 0	0 0
0.179101	0 0	0 0
0.180101	0 0	0 0
0.181102	0 0	0 0
0.182103	0 0	0 0
0.183104	0 0	0 0
0.184102	0 0	0 0
0.185103	0 0	0 0
0.186103	0 0	0 0
0.187102	0 0	0 0
0.188102	0 0	0 0
0.189101	0 0	0 0
0.190103	0 0	0 0
0.191101	0 0	0 0
0.192103	0 0	0 0
0.193102	0 0	0 0
0.194104	0 0	0 0
0.195102	0 0	0 0
0.196101	0 0	0 0
0.197101	0 0	0 0
0.198104	0 0	0 0
0.199105	0 0	0 0
0.200112	0 0	0 0
0.201103	0 0	0 0
0.202104	0 0	0 0
0.203102	0 0	0 0
0.2041	0 0	0 0
0.2051	0 0	0 0
0.206101	0 0	0 0
0.207099	0 0	0 0
0.208099	0 0	0 0
0.209099	0 0	0 0
0.210101	0 0	0 0
0.2111	0 0	0 0
0.2121	0 0	0 0
0.213099	0 0	0 0
0.214101	0 0	0 0
0.2151	0 0	0 0
0.216103	0 0	0 0
0.217103	0 0	0 0
0.218112	0 0	0 0
0.219108	0 0	0 0
0.220102	0 0	0 0
0.221105	0 0	0 0
0.222102	0 0	0 0
0.223102	0 0	0 0
0.2241	0 0	0 0
0.225099	0 0	0 0
0.226101	0 0	0 0
0.227101	0 0	0 0
0.228099	0 0	0 0
0.229099	0 0	0 0
0.230102	0 0	0 0
0.231112	0 0	0 0
0.232107	0 0	0 0
0.233105	0 0	0 0
0.234105	0 0	0 0
0.235102	0 0	0 0
0.2361	0 0	0 0
0.2371	0 0	0 0
0.238101	0 0	0 0
0.239099	0 0	0 0
0.2401	0 0	0 0
0.241099	0 0	0 0
0.2421	0 0	0 0
0.243115	0 0	0 0
0.244103	0 0	0 0
0.245101	0 0	0 0
0.246101	0 0	0 0
0.2471	0 0	0 0
0.248101	0 0	0 0
0.249116	0 0	0 0
0.250506	0 0	0 0
0.251134	0 0	0 0
0.252105	0 0	0 0
0.2531	0 0	0 0
0.254101	0 0	0 0
0.2551	0 0	0 0
0.256099	0 0	0 0
0.257099	0 0	0 0
0.258101	0 0	0 0
0.2591	0 0	0 0
0.260099	0 0	0 0
0.261099	0 0	0 0
0.262105	0 0	0 0
0.263112	0 0	0 0
0.264142	0 0	0 0
0.265112	0 0	0 0
0.26615	0 0	0 0
0.267112	0 0	0 0
0.268113	0 0	0 0
0.269106	0 0	0 0
0.270103	0 0	0 0
0.271101	0 0	0 0
0.2721	0 0	0 0
0.2731	0 0	0 0
0.274101	0 0	0 0
0.2751	0 0	0 0
0.276099	0 0	0 0
0.277099	0 0	0 0
0.278101	0 0	0 0
0.279099	0 0	0 0
0.280099	0 0	0 0
0.281099	0 0	0 0
0.282104	0 0	0 0
0.283103	0 0	0 0
0.284104	0 0	0 0
0.285101	0 0	0 0
0.286101	0 0	0 0
0.2871	0 0	0 0
0.288099	0 0	0 0
0.2891	0 0	0 0
0.290101	0 0	0 0
0.2911	0 0	0 0
0.292102	0 0	0 0
0.2931	0 0	0 0
0.294101	0 0	0 0
0.2951	0 0	0 0
0.2961	0 0	0 0
0.297099	0 0	0 0
0.298112	0 0	0 0
0.299122	0 0	0 0
0.30011	0 0	0 0
0.301103	0 0	0 0
0.302102	0 0	0 0
0.303102	0 0	0 0
0.304102	0 0	0 0
0.305099	0 0	0 0
0.306101	0 0	0 0
0.307099	0 0	0 0
0.308099	0 0	0 0
0.309099	0 0	0 0
0.3101	0 0	0 0
0.311099	0 0	0 0
0.312099	0 0	0 0
0.3131	0 0	0 0
0.3141	0 0	0 0
0.315099	0 0	0 0
0.316107	0 0	0 0
0.317101	0 0	0 0
0.318101	0 0	0 0
0.319102	0 0	0 0
0.3201	0 0	0 0
0.3211	0 0	0 0
0.322101	0 0	0 0
0.3231	0 0	0 0
0.324099	0 0	0 0
0.325102	0 0	0 0
0.326101	0 0	0 0
0.327099	0 0	0 0
0.3281	0 0	0 0
0.329099	0 0	0 0
0.330101	0 0	0 0
0.331128	0 0	0 0
0.332103	0 0	0 0
0.333105	0 0	0 0
0.334105	0 0	0 0
0.335102	0 0	0 0
0.336103	0 0	0 0
0.337102	0 0	0 0
0.338102	0 0	0 0
0.339102	0 0	0 0
0.340102	0 0	0 0
0.341102	0 0	0 0
0.342102	0 0	0 0
0.343102	0 0	0 0
0.344102	0 0	0 0
0.345104	0 0	0 0
0.346103	0 0	0 0
0.347102	0 0	0 0
0.348102	0 0	0 0
0.349103	0 0	0 0
0.350105	0 0	0 0
0.351578	0 0	0 0
0.35214	0 0	0 0
0.353155	0 0	0 0
0.354103	0 0	0 0
0.355102	0 0	0 0
0.356102	0 0	0 0
0.357102	0 0	0 0
0.358102	0 0	0 0
0.359102	0 0	0 0
0.360101	0 0	0 0
0.361102	0 0	0 0
0.362102	0 0	0 0
0.363102	0 0	0 0
0.364101	0 0	0 0
0.365103	0 0	0 0
0.366104	0 0	0 0
0.367113	0 0	0 0
0.368101	0 0	0 0
0.369105	0 0	0 0
0.370103	0 0	0 0
0.371102	0 0	0 0
0.372101	0 0	0 0
0.373102	0 0	0 0
0.374102	0 0	0 0
0.375102	0 0	0 0
0.376101	0 0	0 0
0.377101	0 0	0 0
0.378102	0 0	0 0
0.379102	0 0	0 0
0.380103	0 0	0 0
0.381103	0 0	0 0
0.382103	0 0	0 0
0.383102	0 0	0 0
0.384102	0 0	0 0
0.385102	0 0	0 0
0.386103	0 0	0 0
0.387102	0 0	0 0
0.388101	0 0	0 0
0.389102	0 0	0 0
0.390102	0 0	0 0
0.391102	0 0	0 0
0.392103	0 0	0 0
0.393102	0 0	0 0
0.394102	0 0	0 0
0.395103	0 0	0 0
0.396102	0 0	0 0
0.397102	0 0	0 0
0.398103	0 0	0 0
0.399106	0 0	0 0
0.400107	0 0	0 0
0.401103	0 0	0 0
0.402103	0 0	0 0
0.403129	0 0	0 0
0.40411	0 0	0 0
0.405104	0 0	0 0
0.406105	0 0	0 0
0.407103	0 0	0 0
0.408102	0 0	0 0
0.409102	0 0	0 0
0.410103	0 0	0 0
0.411102	0 0	0 0
0.412102	0 0	0 0
0.413103	0 0	0 0
0.414102	0 0	0 0
0.415102	0 0	0 0
0.416102	0 0	0 0
0.417102	0 0	0 0
0.418103	0 0	0 0
0.419102	0 0	0 0
0.420102	0 0	0 0
0.421102	0 0	0 0
0.422102	0 0	0 0
0.423102	0 0	0 0
0.424102	0 0	0 0
0.425102	0 0	0 0
0.426103	0 0	0 0
0.427102	0 0	0 0
0.428104	0 0	0 0
0.429102	0 0	0 0
0.430102	0 0	0 0
0.431102	0 0	0 0
