time 	 desired_ee_pos 	 ee_pos
0.00016683	3.65647 1.38594	3.65647 1.38593
0.00112524	3.65675 1.38594	3.65647 1.38592
0.00212273	3.65704 1.38594	3.65647 1.38591
0.00313425	3.65732 1.38594	3.65647  1.3859
0.00411971	 3.6576 1.38594	3.65647 1.38589
0.00511734	3.65788 1.38594	3.65647 1.38588
0.0061169	3.65817 1.38594	3.65647 1.38588
0.00711586	3.65845 1.38594	3.65647 1.38587
0.00811615	3.65873 1.38594	3.65648 1.38586
0.00911587	3.65902 1.38594	3.65648 1.38585
0.0101164	 3.6593 1.38594	3.65648 1.38585
0.0111156	3.65958 1.38594	3.65648 1.38584
0.0121148	3.65986 1.38594	3.65649 1.38583
0.0131151	3.66015 1.38594	3.65649 1.38583
0.0141156	3.66043 1.38594	 3.6565 1.38582
0.015117	3.66071 1.38594	3.65651 1.38581
0.0161162	3.66099 1.38594	3.65651 1.38581
0.017136	3.66128 1.38594	3.65652  1.3858
0.0181632	3.66156 1.38594	3.65653  1.3858
0.0191274	3.66184 1.38594	3.65654 1.38579
0.0201514	3.66212 1.38594	3.65656 1.38579
0.0211276	3.66241 1.38594	3.65657 1.38578
0.0221208	3.66269 1.38594	3.65658 1.38578
0.0231174	3.66297 1.38594	 3.6566 1.38578
0.0241221	3.66325 1.38594	3.65662 1.38577
0.0251175	3.66354 1.38594	3.65664 1.38577
0.0261207	3.66382 1.38594	3.65665 1.38577
0.0271165	 3.6641 1.38594	3.65668 1.38576
0.0281155	3.66438 1.38594	 3.6567 1.38576
0.0291461	3.66467 1.38594	3.65672 1.38576
0.0301508	3.66495 1.38594	3.65675 1.38575
0.0311526	3.66523 1.38594	3.65677 1.38575
0.0321539	3.66551 1.38594	 3.6568 1.38575
0.0332443	 3.6658 1.38594	3.65683 1.38575
0.0341876	3.66608 1.38594	3.65686 1.38575
0.0351572	3.66636 1.38594	3.65689 1.38574
0.0361326	3.66664 1.38594	3.65692 1.38574
0.0371556	3.66692 1.38594	3.65696 1.38574
0.0381554	3.66721 1.38594	  3.657 1.38574
0.039151	3.66749 1.38594	3.65704 1.38574
0.0401409	3.66777 1.38594	3.65708 1.38573
0.0411501	3.66805 1.38594	3.65712 1.38573
0.0421514	3.66833 1.38594	3.65716 1.38573
0.0431494	3.66862 1.38594	3.65721 1.38573
0.0441491	 3.6689 1.38594	3.65725 1.38573
0.0451487	3.66918 1.38594	 3.6573 1.38573
0.0461492	3.66946 1.38594	3.65735 1.38573
0.0471486	3.66974 1.38594	 3.6574 1.38573
0.0481486	3.67002 1.38594	3.65745 1.38573
0.04915	3.67031 1.38594	3.65751 1.38573
0.0501507	3.67059 1.38594	3.65756 1.38573
0.051149	3.67087 1.38594	3.65762 1.38573
0.0521484	3.67115 1.38594	3.65768 1.38573
0.0531483	3.67143 1.38594	3.65774 1.38573
0.0541497	3.67171 1.38594	 3.6578 1.38573
0.0551486	3.67199 1.38594	3.65787 1.38573
0.0561484	3.67227 1.38594	3.65793 1.38572
0.0571483	3.67256 1.38594	  3.658 1.38572
0.0581495	3.67284 1.38594	3.65807 1.38572
0.0591487	3.67312 1.38594	3.65814 1.38573
0.0601482	 3.6734 1.38594	3.65821 1.38573
0.0611495	3.67368 1.38594	3.65829 1.38573
0.0621504	3.67396 1.38594	3.65836 1.38573
0.0631485	3.67424 1.38594	3.65844 1.38573
0.0641515	3.67452 1.38594	3.65852 1.38573
0.0651482	 3.6748 1.38594	 3.6586 1.38573
0.0661505	3.67508 1.38594	3.65868 1.38573
0.0671482	3.67536 1.38594	3.65877 1.38573
0.0681485	3.67564 1.38594	3.65885 1.38573
0.069148	3.67592 1.38594	3.65894 1.38573
0.0701505	3.67621 1.38594	3.65903 1.38573
0.0711486	3.67649 1.38594	3.65912 1.38573
0.072148	3.67677 1.38594	3.65921 1.38573
0.0731483	3.67705 1.38594	 3.6593 1.38573
0.07415	3.67733 1.38594	 3.6594 1.38573
0.0751496	3.67761 1.38594	3.65949 1.38573
0.0761485	3.67789 1.38594	3.65959 1.38573
0.0771483	3.67817 1.38594	3.65969 1.38573
0.0781266	3.67845 1.38594	3.65978 1.38573
0.0791267	3.67872 1.38594	3.65989 1.38573
0.0801232	  3.679 1.38594	   3.66 1.38574
0.0811199	3.67928 1.38594	 3.6601 1.38574
0.0821192	3.67956 1.38594	3.66021 1.38574
0.0831167	3.67984 1.38594	3.66032 1.38574
0.0841204	3.68012 1.38594	3.66043 1.38574
0.085117	 3.6804 1.38594	3.66054 1.38574
0.0861198	3.68068 1.38594	3.66065 1.38574
0.08712	3.68096 1.38594	3.66077 1.38574
0.0881179	3.68124 1.38594	3.66088 1.38574
0.0891193	3.68152 1.38594	  3.661 1.38574
0.0901195	 3.6818 1.38594	3.66112 1.38574
0.0911183	3.68207 1.38594	3.66124 1.38574
0.0921189	3.68235 1.38594	3.66136 1.38575
0.0931197	3.68263 1.38594	3.66148 1.38575
0.0941211	3.68291 1.38594	3.66161 1.38575
0.0951183	3.68319 1.38594	3.66173 1.38575
0.096119	3.68347 1.38594	3.66186 1.38575
0.0971183	3.68374 1.38594	3.66198 1.38575
0.0981199	3.68402 1.38594	3.66211 1.38575
0.0991199	 3.6843 1.38594	3.66225 1.38575
0.100131	3.68458 1.38594	3.66238 1.38575
0.101141	3.68486 1.38594	3.66252 1.38575
0.102121	3.68513 1.38594	3.66265 1.38576
0.103163	3.68541 1.38594	3.66279 1.38576
0.104127	3.68569 1.38594	3.66293 1.38576
0.10512	3.68597 1.38594	3.66307 1.38576
0.106118	3.68624 1.38594	3.66321 1.38576
0.107117	3.68652 1.38594	3.66335 1.38576
0.108116	 3.6868 1.38594	3.66349 1.38576
0.109117	3.68707 1.38594	3.66363 1.38576
0.110117	3.68735 1.38594	3.66378 1.38576
0.111115	3.68763 1.38594	3.66393 1.38576
0.112116	 3.6879 1.38594	3.66407 1.38577
0.113116	3.68818 1.38594	3.66422 1.38577
0.114116	3.68846 1.38594	3.66437 1.38577
0.11518	3.68873 1.38594	3.66453 1.38577
0.116121	3.68901 1.38594	3.66468 1.38577
0.117117	3.68928 1.38594	3.66483 1.38577
0.11812	3.68956 1.38594	3.66499 1.38577
0.119133	3.68984 1.38594	3.66514 1.38577
0.120123	3.69011 1.38594	 3.6653 1.38577
0.12112	3.69039 1.38594	3.66546 1.38577
0.122121	3.69066 1.38594	3.66562 1.38577
0.123119	3.69094 1.38594	3.66578 1.38578
0.124118	3.69121 1.38594	3.66594 1.38578
0.125119	3.69149 1.38594	 3.6661 1.38578
0.126119	3.69176 1.38594	3.66627 1.38578
0.127119	3.69204 1.38594	3.66643 1.38578
0.12812	3.69231 1.38594	 3.6666 1.38578
0.129119	3.69259 1.38594	3.66676 1.38578
0.13012	3.69286 1.38594	3.66693 1.38578
0.131161	3.69313 1.38594	 3.6671 1.38578
0.132121	3.69341 1.38594	3.66727 1.38578
0.13314	3.69368 1.38594	3.66744 1.38578
0.134123	3.69396 1.38594	3.66761 1.38579
0.135119	3.69423 1.38594	3.66779 1.38579
0.136123	 3.6945 1.38594	3.66796 1.38579
0.137118	3.69478 1.38594	3.66814 1.38579
0.138119	3.69505 1.38594	3.66831 1.38579
0.139119	3.69532 1.38594	3.66849 1.38579
0.140116	 3.6956 1.38594	3.66867 1.38579
0.141115	3.69587 1.38594	3.66885 1.38579
