time 	 force 	 position
0.000170326	0 0	0 0
0.00113373	0 0	0 0
0.00212817	0 0	0 0
0.00312487	0 0	0 0
0.00412477	0 0	0 0
0.00512431	0 0	0 0
0.00612521	0 0	0 0
0.00712393	0 0	0 0
0.00812419	0 0	0 0
0.00912357	0 0	0 0
0.0101247	0 0	0 0
0.011124	0 0	0 0
0.0121238	0 0	0 0
0.0131249	0 0	0 0
0.0141255	0 0	0 0
0.0151239	0 0	0 0
0.0161232	0 0	0 0
0.0171324	0 0	0 0
0.0181266	0 0	0 0
0.0191248	0 0	0 0
0.020126	0 0	0 0
0.0211241	0 0	0 0
0.0221249	0 0	0 0
0.0231237	0 0	0 0
0.0241253	0 0	0 0
0.0251237	0 0	0 0
0.0261245	0 0	0 0
0.0271264	0 0	0 0
0.0281364	0 0	0 0
0.0291252	0 0	0 0
0.0301249	0 0	0 0
0.0311244	0 0	0 0
0.032255	0 0	0 0
0.0331266	0 0	0 0
0.0341076	0 0	0 0
0.0352471	0 0	0 0
0.036131	0 0	0 0
0.0371085	0 0	0 0
0.0381044	0 0	0 0
0.0391026	0 0	0 0
0.0401035	0 0	0 0
0.0411018	0 0	0 0
0.0421024	0 0	0 0
0.0431013	0 0	0 0
0.0441016	0 0	0 0
0.045101	0 0	0 0
0.0461017	0 0	0 0
0.0471011	0 0	0 0
0.048127	0 0	0 0
0.0491257	0 0	0 0
0.0501218	0 0	0 0
0.0511195	0 0	0 0
0.0521186	0 0	0 0
0.0531179	0 0	0 0
0.0541186	0 0	0 0
0.0551181	0 0	0 0
0.0561178	0 0	0 0
0.0571179	0 0	0 0
0.0581183	0 0	0 0
0.0591178	0 0	0 0
0.0601179	0 0	0 0
0.0611286	0 0	0 0
0.0621197	0 0	0 0
0.0631194	0 0	0 0
0.064118	0 0	0 0
0.0651278	0 0	0 0
0.0661209	0 0	0 0
0.067119	0 0	0 0
0.0681182	0 0	0 0
0.0691185	0 0	0 0
0.0701189	0 0	0 0
0.0711182	0 0	0 0
0.0721181	0 0	0 0
0.0731179	0 0	0 0
0.0741196	0 0	0 0
0.0751181	0 0	0 0
0.076118	0 0	0 0
0.0771182	0 0	0 0
0.0781187	0 0	0 0
0.0791183	0 0	0 0
0.0801181	0 0	0 0
0.0811179	0 0	0 0
0.0821253	0 0	0 0
0.0831193	0 0	0 0
0.0841188	0 0	0 0
0.0851186	0 0	0 0
0.0861192	0 0	0 0
0.0871184	0 0	0 0
0.0881184	0 0	0 0
0.0891179	0 0	0 0
0.0901186	0 0	0 0
0.0911181	0 0	0 0
0.0921189	0 0	0 0
0.0931176	0 0	0 0
0.0941217	0 0	0 0
0.0951307	0 0	0 0
0.0961252	0 0	0 0
0.0971188	0 0	0 0
0.0981239	0 0	0 0
0.0991219	0 0	0 0
0.100119	0 0	0 0
0.101118	0 0	0 0
0.10212	0 0	0 0
0.103118	0 0	0 0
0.104118	0 0	0 0
0.105118	0 0	0 0
0.106119	0 0	0 0
0.107118	0 0	0 0
0.108118	0 0	0 0
0.109118	0 0	0 0
0.110119	0 0	0 0
0.111118	0 0	0 0
0.112118	0 0	0 0
