time 	 desired_ee_pos 	 ee_pos
0.000197059	3.65647 1.38594	3.65647 1.38593
0.00115414	3.65647 1.38594	3.65647 1.38592
0.00214948	3.65647 1.38594	3.65647 1.38591
0.00314624	3.65647 1.38594	3.65647  1.3859
0.00414577	3.65647 1.38594	3.65647 1.38589
0.00514508	3.65647 1.38594	3.65647 1.38588
0.00614727	3.65647 1.38594	3.65647 1.38588
0.0071449	3.65647 1.38594	3.65647 1.38587
0.00814493	3.65647 1.38594	3.65647 1.38586
0.00914411	3.65647 1.38594	3.65647 1.38585
0.0101459	3.65647 1.38594	3.65647 1.38585
0.0111445	3.65647 1.38594	3.65647 1.38584
0.0121448	3.65647 1.38594	3.65647 1.38583
0.0131456	3.65647 1.38594	3.65647 1.38583
0.0141473	3.65647 1.38594	3.65647 1.38582
0.0151447	3.65647 1.38594	3.65647 1.38581
0.0161435	3.65647 1.38594	3.65647 1.38581
0.0171523	3.65647 1.38594	3.65647  1.3858
0.0181481	3.65647 1.38594	3.65647  1.3858
0.0191459	3.65647 1.38594	3.65647 1.38579
0.0201471	3.65647 1.38594	3.65647 1.38579
0.021145	3.65647 1.38594	3.65647 1.38578
0.0221466	3.65647 1.38594	3.65647 1.38578
0.0231447	3.65647 1.38594	3.65647 1.38578
0.0241466	3.65647 1.38594	3.65647 1.38577
0.0251445	3.65647 1.38594	3.65647 1.38577
0.0261461	3.65647 1.38594	3.65647 1.38577
0.0271484	3.65647 1.38594	3.65647 1.38576
0.0281567	3.65647 1.38594	3.65647 1.38576
0.0291464	3.65647 1.38594	3.65647 1.38576
0.0301473	3.65647 1.38594	3.65647 1.38575
0.0311454	3.65647 1.38594	3.65647 1.38575
0.0322818	3.65647 1.38594	3.65647 1.38575
0.0331531	3.65647 1.38594	3.65647 1.38575
0.034126	3.65647 1.38594	3.65647 1.38575
0.0352675	3.65647 1.38594	3.65647 1.38574
0.0361597	3.65647 1.38594	3.65647 1.38574
0.0371268	3.65647 1.38594	3.65647 1.38574
0.0381219	3.65647 1.38594	3.65647 1.38574
0.0391226	3.65647 1.38594	3.65647 1.38574
0.0401246	3.65647 1.38594	3.65647 1.38573
