time 	 force 	 position
0.000234861	0 0	0 0
0.000548185	0 0	0 0
0.000709997	0 0	0 0
0.000953662	0 0	0 0
0.00117968	0 0	0 0
0.0014364	0 0	0 0
0.00165687	0 0	0 0
0.0019313	0 0	0 0
0.00217714	0 0	0 0
0.0024335	0 0	0 0
0.00265855	0 0	0 0
0.00293126	0 0	0 0
0.00317613	0 0	0 0
0.00343415	0 0	0 0
0.00365655	0 0	0 0
0.00393081	0 0	0 0
0.00417747	0 0	0 0
0.00443348	0 0	0 0
0.00465635	0 0	0 0
0.00493554	0 0	0 0
0.00517833	0 0	0 0
0.00543356	0 0	0 0
0.00565664	0 0	0 0
0.00593051	0 0	0 0
0.00617968	0 0	0 0
0.00643311	0 0	0 0
0.00665783	0 0	0 0
0.00693019	0 0	0 0
0.00717814	0 0	0 0
0.00743537	0 0	0 0
0.00765581	0 0	0 0
0.00793018	0 0	0 0
0.00817794	0 0	0 0
0.00843327	0 0	0 0
0.00865608	0 0	0 0
0.00893138	0 0	0 0
0.00917735	0 0	0 0
0.00943304	0 0	0 0
0.00965597	0 0	0 0
0.0099307	0 0	0 0
0.0101786	0 0	0 0
0.0104327	0 0	0 0
0.0106568	0 0	0 0
0.0109314	0 0	0 0
0.0111779	0 0	0 0
0.0114333	0 0	0 0
0.0116556	0 0	0 0
0.0119299	0 0	0 0
0.0121786	0 0	0 0
0.0124332	0 0	0 0
0.0126558	0 0	0 0
0.0129312	0 0	0 0
0.0131788	0 0	0 0
0.0134329	0 0	0 0
0.0136558	0 0	0 0
0.0139346	0 0	0 0
0.0141779	0 0	0 0
0.0144676	0 0	0 0
0.0146577	0 0	0 0
0.0149311	0 0	0 0
0.0151783	0 0	0 0
0.0154332	0 0	0 0
0.0156558	0 0	0 0
0.0159304	0 0	0 0
0.0161774	0 0	0 0
0.0164367	0 0	0 0
0.0166558	0 0	0 0
0.0169309	0 0	0 0
0.0171781	0 0	0 0
0.0174334	0 0	0 0
0.0176605	0 0	0 0
0.0180293	0 0	0 0
0.018173	0 0	0 0
0.0184355	0 0	0 0
0.0186579	0 0	0 0
0.0189342	0 0	0 0
0.019178	0 0	0 0
0.0194336	0 0	0 0
0.0196561	0 0	0 0
0.0199305	0 0	0 0
0.0201777	0 0	0 0
0.0204534	0 0	0 0
0.0206565	0 0	0 0
0.0209317	0 0	0 0
0.021179	0 0	0 0
0.0214332	0 0	0 0
0.0216558	0 0	0 0
0.0219302	0 0	0 0
0.0221779	0 0	0 0
0.0224332	0 0	0 0
0.0226578	0 0	0 0
0.0229313	0 0	0 0
0.0231789	0 0	0 0
0.0234337	0 0	0 0
0.0236562	0 0	0 0
0.0239306	0 0	0 0
0.0241782	0 0	0 0
0.0244336	0 0	0 0
0.0246561	0 0	0 0
0.0249307	0 0	0 0
0.0251775	0 0	0 0
0.0254353	0 0	0 0
0.0256556	0 0	0 0
0.0259304	0 0	0 0
0.0261776	0 0	0 0
0.0264331	0 0	0 0
0.0266597	0 0	0 0
0.0269324	0 0	0 0
0.0271782	0 0	0 0
0.0274334	0 0	0 0
0.0276557	0 0	0 0
0.027935	0 0	0 0
0.0281815	0 0	0 0
0.0284343	0 0	0 0
0.0286561	0 0	0 0
0.0289317	0 0	0 0
0.0291763	0 0	0 0
0.0294354	0 0	0 0
0.0296564	0 0	0 0
0.0299304	0 0	0 0
0.0301775	0 0	0 0
0.0304336	0 0	0 0
0.0306597	0 0	0 0
0.0309315	0 0	0 0
0.031178	0 0	0 0
0.0314328	0 0	0 0
0.0316565	0 0	0 0
0.0319311	0 0	0 0
0.0321776	0 0	0 0
0.0324606	0 0	0 0
0.0327158	0 0	0 0
0.0330044	0 0	0 0
0.0331992	0 0	0 0
0.0334624	0 0	0 0
0.0336574	0 0	0 0
0.0339348	0 0	0 0
0.0341884	0 0	0 0
0.0344837	0 0	0 0
0.0346641	0 0	0 0
0.0349341	0 0	0 0
0.035157	0 0	0 0
0.0354318	0 0	0 0
0.0356387	0 0	0 0
0.0359727	0 0	0 0
0.03616	0 0	0 0
0.0364448	0 0	0 0
0.0366578	0 0	0 0
0.0369342	0 0	0 0
0.037157	0 0	0 0
0.0374321	0 0	0 0
0.0376582	0 0	0 0
0.0379322	0 0	0 0
0.0381584	0 0	0 0
0.0384328	0 0	0 0
0.0386574	0 0	0 0
0.0389306	0 0	0 0
0.0391555	0 0	0 0
0.0394345	0 0	0 0
0.0396554	0 0	0 0
0.0399304	0 0	0 0
0.0401556	0 0	0 0
0.0404468	0 0	0 0
0.0406558	0 0	0 0
0.0409327	0 0	0 0
0.041156	0 0	0 0
0.0414296	0 0	0 0
0.041655	0 0	0 0
0.0419304	0 0	0 0
0.0421562	0 0	0 0
0.0424304	0 0	0 0
0.0426561	0 0	0 0
0.0429301	0 0	0 0
0.0431552	0 0	0 0
0.0434311	0 0	0 0
0.0436554	0 0	0 0
0.0439299	0 0	0 0
0.0441552	0 0	0 0
0.0444307	0 0	0 0
0.0446559	0 0	0 0
0.0449317	0 0	0 0
0.0451553	0 0	0 0
0.0454303	0 0	0 0
0.0456553	0 0	0 0
0.045934	0 0	0 0
0.0461553	0 0	0 0
0.0464304	0 0	0 0
0.0466568	0 0	0 0
0.0469308	0 0	0 0
0.0471561	0 0	0 0
0.0474302	0 0	0 0
0.0476549	0 0	0 0
0.0479306	0 0	0 0
0.0481547	0 0	0 0
0.0484361	0 0	0 0
0.0486554	0 0	0 0
0.0489519	0 0	0 0
0.0491686	0 0	0 0
0.0494471	0 0	0 0
0.0496554	0 0	0 0
0.0499309	0 0	0 0
0.0501571	0 0	0 0
0.0504307	0 0	0 0
0.0506711	0 0	0 0
0.0509312	0 0	0 0
0.0511554	0 0	0 0
0.0514306	0 0	0 0
0.0516551	0 0	0 0
0.0519301	0 0	0 0
0.0521548	0 0	0 0
0.0524404	0 0	0 0
0.0526557	0 0	0 0
0.0529307	0 0	0 0
0.0531557	0 0	0 0
0.0534311	0 0	0 0
0.0536554	0 0	0 0
0.0539419	0 0	0 0
0.0541567	0 0	0 0
0.0544302	0 0	0 0
0.0546566	0 0	0 0
0.054931	0 0	0 0
0.0551552	0 0	0 0
0.0554302	0 0	0 0
0.0556552	0 0	0 0
0.0559312	0 0	0 0
0.0561554	0 0	0 0
0.056432	0 0	0 0
0.056655	0 0	0 0
0.0569302	0 0	0 0
0.0571551	0 0	0 0
0.0574308	0 0	0 0
0.0576567	0 0	0 0
0.0579299	0 0	0 0
0.0581553	0 0	0 0
0.0584299	0 0	0 0
0.058655	0 0	0 0
0.0589297	0 0	0 0
0.0591553	0 0	0 0
0.0594301	0 0	0 0
0.0596549	0 0	0 0
0.05993	0 0	0 0
0.0601556	0 0	0 0
0.06043	0 0	0 0
0.0606551	0 0	0 0
0.0609319	0 0	0 0
0.0611573	0 0	0 0
0.0614318	0 0	0 0
0.061658	0 0	0 0
0.0619319	0 0	0 0
0.0621557	0 0	0 0
0.0624306	0 0	0 0
0.0626688	0 0	0 0
0.0629304	0 0	0 0
