time 	 force 	 position
0.00721637	-0.00249785  0.00289732	1.66359 1.37733
0.0123524	-0.0118901  0.0137963	1.66271 1.37765
0.0125617	-0.0289879  0.0336302	1.66359 1.37733
0.012716	-0.0518077  0.0600397	1.66538 1.37668
0.0128855	-0.0787151  0.0910151	1.66904 1.37534
0.0131826	-0.10838 0.124858	1.67515 1.37312
0.013247	-0.139832  0.160327	1.67515 1.37312
0.0133033	-0.17247 0.196729	1.67515 1.37312
0.0133585	-0.205874  0.233647	1.67515 1.37312
0.0134134	-0.239672  0.270707	1.67515 1.37312
0.0134681	-0.273532  0.307585	1.67515 1.37312
0.0135228	-0.307166  0.343995	1.67515 1.37312
0.0136349	-0.340321  0.379694	1.67515 1.37312
0.0136909	-0.372782  0.414473	1.67515 1.37312
0.0377011	-0.404365  0.448158	1.67515 1.37312
0.0378399	-0.434916  0.480605	1.67515 1.37312
0.0379147	-0.464311  0.511698	1.67515 1.37312
0.0387574	-0.49245 0.541348	1.67515 1.37312
0.0388381	-0.519254  0.569488	1.67515 1.37312
0.0394624	-0.544667  0.596072	1.67515 1.37312
0.0395778	-0.568652  0.621073	1.67515 1.37312
0.0481372	-0.591187  0.644482	1.67515 1.37312
0.0484017	-0.612266  0.666301	1.67515 1.37312
0.0485429	-0.631895  0.686548	1.67515 1.37312
0.0486458	-0.650091  0.705251	1.67515 1.37312
0.0487229	-0.666882  0.722445	1.67515 1.37312
0.0488786	-0.682304  0.738178	1.67515 1.37312
0.0489385	-0.696399    0.7525	1.67515 1.37312
0.0489935	-0.709215  0.765468	1.67515 1.37312
0.0490482	-0.720806  0.777143	1.67515 1.37312
0.0491025	-0.731228  0.787589	1.67515 1.37312
0.049157	-0.74054 0.796873	1.67515 1.37312
0.0492114	-0.748803  0.805063	1.67515 1.37312
0.0492658	-0.756079  0.812226	1.67515 1.37312
0.0493201	-0.762431  0.818432	1.67515 1.37312
0.0493745	-0.767921  0.823749	1.67515 1.37312
0.0494287	-0.772612  0.828242	1.67515 1.37312
0.0494829	-0.776563  0.831978	1.67515 1.37312
0.0495371	-0.779835   0.83502	1.67515 1.37312
0.0496059	-0.782485  0.837429	1.67515 1.37312
0.0496656	-0.784568  0.839264	1.67515 1.37312
0.0497204	-0.786138  0.840581	1.67515 1.37312
0.0497745	-0.787246  0.841435	1.67515 1.37312
0.0498289	-0.78794 0.841875	1.67515 1.37312
0.0498831	-0.788267   0.84195	1.67515 1.37312
0.0499373	-0.788268  0.841705	1.67515 1.37312
0.0499915	-0.787986  0.841181	1.67515 1.37312
0.0500457	-0.787457  0.840419	1.67515 1.37312
0.0500998	-0.786717  0.839453	1.67515 1.37312
0.0501541	-0.785798  0.838318	1.67515 1.37312
0.0502083	-0.78473 0.837044	1.67515 1.37312
0.0792185	-0.783542  0.835658	1.67515 1.37312
0.0793234	-0.782256  0.834187	1.67515 1.37312
0.0793794	-0.780898  0.832653	1.67515 1.37312
0.0814988	-0.779486  0.831077	1.67515 1.37312
0.0816588	-0.778039  0.829477	1.67515 1.37312
0.0817208	-0.776575   0.82787	1.67515 1.37312
0.0817877	-0.775106   0.82627	1.67515 1.37312
0.0819409	-0.773646  0.824688	1.67515 1.37312
0.082032	-0.772206  0.823137	1.67515 1.37312
0.0820852	-0.770795  0.821625	1.67515 1.37312
0.0821382	-0.769422   0.82016	1.67515 1.37312
0.0822118	-0.768093  0.818748	1.67515 1.37312
0.0823385	-0.766814  0.817394	1.67515 1.37312
0.082576	-0.765589  0.816103	1.67515 1.37312
0.0826394	-0.764421  0.814877	1.67515 1.37312
0.0827102	-0.763314  0.813718	1.67515 1.37312
0.0827633	-0.762268  0.812628	1.67515 1.37312
0.0871772	-0.761286  0.811607	1.67515 1.37312
0.0872642	-0.760366  0.810655	1.67515 1.37312
0.0873368	-0.759509  0.809771	1.67515 1.37312
0.0874157	-0.758715  0.808954	1.67515 1.37312
0.0874855	-0.757982  0.808203	1.67515 1.37312
